"protein"	"m_diff"	"pval"	"adjpval"	"drug"
"GEN1"	0.294754952769688	0.000724436324238409	0.233704933322736	"Aldoxorubicin"
"RBCK1"	0.410116384136318	0.000742920990237	0.233704933322736	"Aldoxorubicin"
"CNTRL"	0.468655149604996	0.000809286330709756	0.238733769066307	"Aldoxorubicin"
"PLEKHF2"	0.679014076241443	0.000853594094272304	0.238733769066307	"Aldoxorubicin"
"CD84"	1.3795540178558	0.000969995469118013	0.258192896536259	"Aldoxorubicin"
"RBX1"	0.319070574346338	0.00111235915026775	0.278019954459418	"Aldoxorubicin"
"PLXDC2"	0.61754987948335	0.00115160948287785	0.278019954459418	"Aldoxorubicin"
"TMSB10"	0.855336899094869	0.0014081251455851	0.298493155333611	"Aldoxorubicin"
"MYH14"	0.340425820311529	0.0014835580746749	0.298493155333611	"Aldoxorubicin"
"TOMM7"	0.304818896102076	0.00152901241457694	0.298493155333611	"Aldoxorubicin"
"WDR34"	0.317966532588409	0.00158004634509474	0.298493155333611	"Aldoxorubicin"
"CEACAM1"	1.06980973356791	0.00161872966257205	0.298493155333611	"Aldoxorubicin"
"ARL14EP"	0.21468310759936	0.00175375220372743	0.298493155333611	"Aldoxorubicin"
"NFYA"	0.176783292659982	0.00176119194645177	0.298493155333611	"Aldoxorubicin"
"ZFY"	1.02335036171978	0.00181826868358576	0.298493155333611	"Aldoxorubicin"
"SELENOW"	1.33597015106811	0.00183334929941385	0.298493155333611	"Aldoxorubicin"
"JAKMIP1"	0.720329631932798	0.00196078069771983	0.306041887597764	"Aldoxorubicin"
"OTUD1"	0.54962965584432	0.00197522459002506	0.306041887597764	"Aldoxorubicin"
"LY86"	0.625040694004328	0.00205544020107349	0.309239488802085	"Aldoxorubicin"
"CYBC1"	0.327505924517353	0.00215134168840759	0.314550395314919	"Aldoxorubicin"
"RMDN2"	1.28307698035972	0.00226123381486504	0.321559838796081	"Aldoxorubicin"
"GZMA"	1.11761654671535	0.0023373552328623	0.321794955588601	"Aldoxorubicin"
"NSL1"	0.158259346438508	0.00237861397665733	0.321794955588601	"Aldoxorubicin"
"AASS"	0.715005261043662	0.00238225071832183	0.321794955588601	"Aldoxorubicin"
"MYH9"	0.372629204415186	0.0024259165169271	0.321794955588601	"Aldoxorubicin"
"CDH1"	0.375921326571959	0.0024423575400582	0.321794955588601	"Aldoxorubicin"
"DIP2C"	0.795886305092683	0.00259164987843378	0.321794955588601	"Aldoxorubicin"
"DAPK1"	0.800335798895242	0.00265419859647311	0.321794955588601	"Aldoxorubicin"
"PHLDB2"	1.15097458243429	0.00266489503461586	0.321794955588601	"Aldoxorubicin"
"KAT2B"	0.501578043275201	0.00270650142018936	0.321794955588601	"Aldoxorubicin"
"MYO1D"	0.810775613230741	0.00275886244556261	0.321794955588601	"Aldoxorubicin"
"NCKAP5"	1.20481809262258	0.00283562724325595	0.327073849024889	"Aldoxorubicin"
